Transaction ID,Date,Currency Pair,Buy/Sell,Amount,Price,Total,Status
65,2024-03-05,USD/CHF,Sell,1000,0.8870,887.00,Pending
66,2024-03-06,EUR/USD,Buy,1000,1.2100,1210.00,Completed
67,2024-03-07,USD/JPY,Sell,500,114.5000,57250.00,Pending
68,2024-03-08,GBP/USD,Buy,1500,1.4760,2214.00,Completed
69,2024-03-09,USD/CAD,Buy,2000,1.3300,2660.00,Completed
70,2024-03-10,USD/CHF,Sell,1000,0.9200,920.00,Pending
71,2024-03-11,EUR/USD,Buy,1000,1.1950,1195.00,Completed
72,2024-03-12,USD/JPY,Sell,500,113.0000,56500.00,Pending
73,2024-03-13,GBP/USD,Buy,1500,1.4600,2190.00,Completed
74,2024-03-14,USD/CAD,Buy,2000,1.3400,2680.00,Completed
75,2024-03-15,USD/CHF,Sell,1000,0.8750,875.00,Pending
76,2024-03-16,EUR/USD,Buy,1000,1.1980,1198.00,Completed
77,2024-03-17,USD/JPY,Sell,500,115.5000,57750.00,Pending
78,2024-03-18,GBP/USD,Buy,1500,1.4740,2211.00,Completed
79,2024-03-19,USD/CAD,Buy,2000,1.3580,2716.00,Completed
80,2024-03-20,USD/CHF,Sell,1000,0.9100,910.00,Pending
81,2024-03-21,EUR/USD,Buy,1000,1.2200,1220.00,Completed
82,2024-03-22,USD/JPY,Sell,500,117.5000,58750.00,Pending
83,2024-03-23,GBP/USD,Buy,1500,1.4380,2157.00,Completed
84,2024-03-24,USD/CAD,Buy,2000,1.3680,2736.00,Completed
85,2024-03-25,USD/CHF,Sell,1000,0.8700,870.00,Pending
86,2024-03-26,EUR/USD,Buy,1000,1.2140,1214.00,Completed
87,2024-03-27,USD/JPY,Sell,500,113.5000,56750.00,Pending
88,2024-03-28,GBP/USD,Buy,1500,1.4850,2227.50,Completed
89,2024-03-29,USD/CAD,Buy,2000,1.3420,2684.00,Completed
90,2024-03-30,USD/CHF,Sell,1000,0.8550,855.00,Pending
91,2024-03-31,EUR/USD,Buy,1000,1.2300,1230.00,Completed
92,2024-04-01,USD/JPY,Sell,500,116.0000,58000.00,Pending
93,2024-04-02,GBP/USD,Buy,1500,1.4680,2202.00,Completed
94,2024-04-03,USD/CAD,Buy,2000,1.3720,2744.00,Completed
95,2024-04-04,USD/CHF,Sell,1000,0.9300,930.00,Pending
96,2024-04-05,EUR/USD,Buy,1000,1.2100,1210.00,Completed
97,2024-04-06,USD/JPY,Sell,500,118.0000,59000.00,Pending
98,2024-04-07,GBP/USD,Buy,1500,1.4590,2188.50,Completed
99,2024-04-08,USD/CAD,Buy,2000,1.3620,2724.00,Completed
100,2024-04-09,USD/CHF,Sell,1000,0.9400,940.00,Pending
